Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2013,35.1,33.9,40.1,53,62.8,72.7,79.8,74.6,67.9,60.2,45.3,38.5,55.3
2014,28.6,31.6,37.7,52.3,64,72.5,76.1,74.5,69.7,59.6,45.3,40.5,54.4
2015,29.9,23.9,38.1,54.3,68.5,71.2,78.8,79,74.5,58,52.8,50.8,56.7
2016,34.5,37.7,48.9,53.3,62.8,72.3,78.7,79.2,71.8,58.8,49.8,38.3,57.2
2017,38,41.6,39.2,57.2,61.1,72,76.8,74,70.5,64.1,46.6,35,56.3
2018,31.7,42,40.1,49.5,66.9,71.7,77.6,78.1,70.7,57.7,44.4,40.1,55.9
2019,32.5,36.2,41.7,55.5,62.2,71.7,79.6,75.5,70.4,59.9,43.9,38.3,55.6
2020,39.1,40.1,48,50.4,60.3,73.7,80,76.9,68.8,57.9,53,39.2,57.3
2021,34.8,34.2,45.8,54.6,62.9,74.3,76,77.5,70.3,62,46.2,43.8,56.9
2022,30.3,37.3,45.3,52.8,64,71.4,79.5,79.3,69.5,56.9,50.9,38.5,56.3
2023,43.5,41.1,44.6,57.6,62.7,70,79,75,69.4,60.5,46.7,44.6,57.9
